Date,Spot_Price,Theoretical_Feb_2026,Theoretical_Mar_2026,Theoretical_Feb_2027
2025-03-04,843.5971069335938,901.5048568309461,906.1850297787337,960.5412589419695
2025-03-05,833.73046875,890.7961831414581,895.4207618852561,949.1313116417872
2025-03-06,834.3224487304688,891.2638439177173,895.8908505278736,949.6295978877037
2025-03-07,833.3604736328125,890.0715977989161,894.692414849482,948.3592757377511
2025-03-10,832.4971313476562,888.6563456339954,893.2698153864894,946.8513436551756
2025-03-11,831.510498046875,887.4390246738366,892.0461746904095,945.5543046001471
2025-03-12,844.1644287109375,900.7774783782445,905.4538751323363,959.7662470167523
2025-03-13,841.9197998046875,898.2161918278313,902.8792916330112,957.0372307624266
2025-03-17,843.79443359375,899.5505090774515,904.2205360061496,958.4589277849846
2025-03-18,843.79443359375,899.3841692275342,904.0533326009672,958.2816949196917
2025-03-19,860.4197387695312,916.9351746255246,921.695454247581,976.9820543164735
2025-03-20,872.5803833007812,929.7226227378738,934.54928854551,990.6069077106846
2025-03-21,873.3696899414062,930.3915436909349,935.2216822094778,991.3196339589321
2025-03-24,887.9969482421875,945.4491325658596,950.3574427321504,1007.363291699606
2025-03-25,898.5789184570312,956.538831211306,961.504713677076,1019.1792159483441
2025-03-26,891.2283325195312,948.5386887074472,953.4630383403755,1010.6551720742107
2025-03-27,900.5029296875,958.2324642355806,963.2071392168914,1020.983759079749
2025-03-28,901.908935546875,959.5511388162013,964.5326597119322,1022.3887890495894
2025-04-01,872.1363525390625,927.1896302690349,932.0031460168128,987.9080384184415
2025-04-02,886.4676513671875,942.2513188512546,947.1430275304587,1003.9560643419115
2025-04-03,885.456298828125,941.0022868212884,945.887511136184,1002.6252375699515
2025-04-04,896.5316162109375,952.5961939638732,957.5416081825247,1014.9783891679837
2025-04-07,867.1289672851562,920.8438304145707,925.6244018686092,981.1466743115104
2025-04-08,872.7777099609375,926.6711015684714,931.4819253684706,987.3555530856529
2025-04-09,870.7303466796875,924.3263622133262,929.1250132716962,984.8572649455322
2025-04-11,891.3269653320312,945.840867106349,950.7512109670623,1007.7806795659515
2025-04-15,920.01416015625,975.5606672626202,980.6253018114546,1039.446725557051
2025-04-16,926.476806640625,982.2318381988341,987.3311062091625,1046.5547681606301
2025-04-17,940.6353759765625,997.0580605006193,1002.2342990164408,1062.351907939968
2025-04-21,950.6994018554688,1006.9805974258552,1012.2083489075126,1072.9242371269327
2025-04-22,967.7686767578125,1024.8708212180984,1030.1914500046178,1091.986029144962
2025-04-23,949.1207885742188,1004.9367728965551,1010.1539138394012,1070.7465696728368
2025-04-24,945.6181030273438,1001.0429595879758,1006.2398857537495,1066.5977641404343
2025-04-25,942.8554077148438,997.9337698741621,1003.1145546453798,1063.2849644595824
2025-04-28,947.29541015625,1002.0770408519485,1007.2793354626293,1067.699563772037
2025-04-29,941.6715087890625,995.9437136134688,1001.114166984467,1061.1645863700717
2025-04-30,949.6633911132812,1004.210471983324,1009.4238423265332,1069.9727058513836
2025-05-02,948.1340942382812,1002.2225812230496,1007.4256314082595,1067.8546350733452
2025-05-05,955.4847412109375,1009.4323798024669,1014.6728597408443,1075.5365781618561
2025-05-06,952.9686889648438,1006.5881016240555,1011.8138154591937,1072.5060381469345
2025-05-07,959.8259887695312,1013.6437599289222,1018.9061032962,1080.0237468530695
2025-05-08,951.3900756835938,1004.5490523650991,1009.7641804522974,1070.3334586789463
2025-05-09,932.248779296875,984.1562165899624,989.2654750330869,1048.605167366457
2025-05-12,965.5486450195312,1018.7448617150206,1024.0336875115413,1085.4589019656382
2025-05-13,948.4794311523438,1000.5501812723726,1005.7445491737902,1066.0727154953136
2025-05-14,942.5594482421875,994.1213347537197,999.2823272236751,1059.222866288423
2025-05-15,954.0047607421875,1006.0066934811917,1011.2293889291949,1071.8865556169474
2025-05-16,954.44873046875,1006.2887518905357,1011.5129116480512,1072.1870850456612
2025-05-19,956.4220581054688,1007.8099764551471,1013.0420336676799,1073.8079292899863
2025-05-20,944.6807861328125,995.2537829803576,1000.4206545684508,1060.4294745912614
2025-05-21,950.5514526367188,1001.2535521259956,1006.4515715853792,1066.8221476477004
2025-05-22,947.1474609375,997.4835094512463,1002.6619566902424,1062.8052180553314
2025-05-23,953.906005859375,1004.4154712628969,1009.6299058622495,1070.1911298172568
2025-05-26,957.1620483398438,1007.2849304704014,1012.5142619005986,1073.2484998788536
2025-05-27,950.3048095703125,999.8836774792236,1005.0745852184483,1065.3625646983323
2025-05-28,948.9234619140625,998.2456386437581,1003.4280424853199,1063.6172564248475
