Date,HDFCBANK.NS,SPARC.NS
2025-03-04,843.5971069335938,127.04000091552734
2025-03-05,833.73046875,124.5999984741211
2025-03-06,834.3224487304688,126.05000305175781
2025-03-07,833.3604736328125,136.60000610351562
2025-03-10,832.4971313476562,127.3499984741211
2025-03-11,831.510498046875,126.0999984741211
2025-03-12,844.1644897460938,124.4800033569336
2025-03-13,841.9197387695312,122.41000366210938
2025-03-17,843.7944946289062,117.25
2025-03-18,843.7944946289062,117.25
2025-03-19,860.4197387695312,130.33999633789062
2025-03-20,872.580322265625,144.49000549316406
2025-03-21,873.3696899414062,147.77000427246094
2025-03-24,887.9969482421875,156.0399932861328
2025-03-25,898.5789184570312,153.8300018310547
2025-03-26,891.2283325195312,147.7100067138672
2025-03-27,900.5029296875,150.72999572753906
2025-03-28,901.9088745117188,147.91000366210938
2025-04-01,872.1363525390625,146.2899932861328
2025-04-02,886.4676513671875,145.60000610351562
2025-04-03,885.456298828125,150.0
2025-04-04,896.5316772460938,145.5399932861328
2025-04-07,867.1289672851562,142.5800018310547
2025-04-08,872.7777099609375,143.0800018310547
2025-04-09,870.7303466796875,143.6300048828125
2025-04-11,891.3269653320312,145.47999572753906
2025-04-15,920.0142211914062,147.97999572753906
2025-04-16,926.4768676757812,150.36000061035156
2025-04-17,940.6354370117188,149.92999267578125
2025-04-21,950.6994018554688,152.83999633789062
2025-04-22,967.7686767578125,152.44000244140625
2025-04-23,949.1207275390625,153.75999450683594
2025-04-24,945.6181030273438,154.99000549316406
2025-04-25,942.8554077148438,149.77000427246094
2025-04-28,947.29541015625,150.55999755859375
2025-04-29,941.6714477539062,148.4499969482422
2025-04-30,949.6633911132812,145.9499969482422
2025-05-02,948.1341552734375,144.97000122070312
2025-05-05,955.4847412109375,147.47999572753906
2025-05-06,952.9686889648438,144.77999877929688
2025-05-07,959.8260498046875,145.0800018310547
2025-05-08,951.3900756835938,142.5800018310547
2025-05-09,932.248779296875,140.66000366210938
2025-05-12,965.5487060546875,148.6300048828125
2025-05-13,948.4793701171875,149.74000549316406
2025-05-14,942.5594482421875,150.67999267578125
2025-05-15,954.0047607421875,151.57000732421875
2025-05-16,954.44873046875,160.7100067138672
2025-05-19,956.4220581054688,167.02999877929688
2025-05-20,944.6807861328125,160.00999450683594
2025-05-21,950.5514526367188,165.77999877929688
2025-05-22,947.1474609375,162.50999450683594
2025-05-23,953.9060668945312,163.3000030517578
2025-05-26,957.1619873046875,164.5800018310547
2025-05-27,950.3047485351562,161.30999755859375
2025-05-28,948.9234008789062,169.82000732421875
2025-05-29,950.896728515625,180.7100067138672
2025-05-30,959.480712890625,185.14999389648438
2025-06-02,953.166015625,198.5399932861328
2025-06-03,949.466064453125,195.17999267578125
2025-06-04,957.6553344726562,156.8300018310547
2025-06-05,961.79931640625,162.0399932861328
2025-06-06,976.1552734375,165.5500030517578
2025-06-09,976.2540283203125,166.83999633789062
2025-06-10,969.5447387695312,164.8800048828125
2025-06-11,962.1940307617188,165.8000030517578
2025-06-12,958.74072265625,166.94000244140625
2025-06-13,946.0127563476562,165.89999389648438
2025-06-16,954.7940673828125,162.88999938964844
2025-06-17,951.9327392578125,159.8800048828125
2025-06-18,954.0540771484375,157.32000732421875
2025-06-19,954.7447509765625,150.6199951171875
2025-06-20,969.2486572265625,156.6699981689453
2025-06-23,961.2073974609375,156.6300048828125
2025-06-24,967.3740234375,157.07000732421875
2025-06-25,976.8953247070312,159.07000732421875
2025-06-26,997.4179077148438,159.57000732421875
2025-06-27,1004.9491577148438,161.36000061035156
2025-06-30,998.2658081054688,162.38999938964844
2025-07-01,1003.5526123046875,160.92999267578125
2025-07-02,990.5350341796875,160.44000244140625
2025-07-03,991.0836181640625,159.3000030517578
2025-07-04,992.1809692382812,158.83999633789062
2025-07-07,991.2332763671875,157.1699981689453
